Magnitude,Longitude,Latitude,Title
1.6,-150.7585,61.7591,"M 1.6 - 27 km NNW of Susitna, Alaska"
1.6,-153.4716,59.3152,"M 1.6 - 63 km SE of Pedro Bay, Alaska"
2.2,-148.7531,63.1633,"M 2.2 - 27 km SSE of Cantwell, Alaska"
3.7,-159.6267,54.5612,M 3.7 - south of Alaska
2.92000008,-155.248336791992,18.7551670074463,"M 2.9 - 49 km SE of Naalehu, Hawaii"
1.4,-149.173,62.3994,"M 1.4 - 44 km NE of Susitna North, Alaska"
4.6,22.0768,36.3592,"M 4.6 - 49 km SSE of Koróni, Greece"
4.5,129.5079,-6.686,M 4.5 - Banda Sea
1.9,-150.5896,62.9779,"M 1.9 - 54 km N of Petersville, Alaska"
1.8,-145.9089,63.671,"M 1.8 - 34 km SSW of Fort Greely, Alaska"
1.7,-141.4547,60.2138,"M 1.7 - 121 km NW of Yakutat, Alaska"
4.1,127.3132,1.7827,"M 4.1 - 77 km W of Tobelo, Indonesia"
1.6,-148.8272,62.8383,"M 1.6 - 61 km S of Cantwell, Alaska"
1.2,-117.7935,38.1911,"M 1.2 - 35 km SE of Mina, Nevada"
5.1,140.7506,10.6172,"M 5.1 - 97 km NNE of Fais, Micronesia"
1.02,-117.153,34.0223333,"M 1.0 - 5km SE of Redlands, CA"
1.8,-145.4421,65.6749,"M 1.8 - 31 km WNW of Central, Alaska"
2.78,-121.2634964,36.6408348,"M 2.8 - 16km NW of Pinnacles, CA"
2.29,-66.9111666666667,17.9403333333333,"M 2.3 - 3 km S of Guánica, Puerto Rico"
0.98,-117.2585,34.0358333,"M 1.0 - 1km S of Loma Linda, CA"
2.5,-155.6147,57.0429,"M 2.5 - 88 km W of Akhiok, Alaska"
1.79,-116.7213333,34.1478333,"M 1.8 - 17km SE of Big Bear City, CA"
1.4,-149.8307,65.7868,"M 1.4 - 35 km NNE of Rampart, Alaska"
1.13,-122.7611694,38.788166,"M 1.1 - 1km NNW of The Geysers, CA"
1.13,-116.5603333,33.4873333,"M 1.1 - 13km SE of Anza, CA"
4.4,120.5613,23.1392,"M 4.4 - 10 km E of Yujing, Taiwan"
1.3,-119.6498,40.133,M 1.3 - Nevada
1.18,-122.8125,38.8330002,"M 1.2 - 8km W of Cobb, CA"
1.4,-148.1118,61.3358,"M 1.4 - 44 km ESE of Knik River, Alaska"
1.49,-116.7225,34.1458333,"M 1.5 - 17km NW of Morongo Valley, CA"
2.8,-149.5698,56.4973,"M 2.8 - 206 km SE of Chiniak, Alaska"
1.14,-117.6645,33.9961667,"M 1.1 - 3km SE of Chino, CA"
1.22,-122.8128357,38.8375015,"M 1.2 - 8km WNW of Cobb, CA"
1.8,-117.8823,38.0322,"M 1.8 - 37 km NW of Silver Peak, Nevada"
1.6600000000000001,-119.85066666666667,46.6085,"M 1.7 - 9 km SSE of Desert Aire, Washington"
1.9,-152.1079,60.2597,"M 1.9 - 33 km NW of Ninilchik, Alaska"
4.6,169.9229,-22.4542,"M 4.6 - 233 km ESE of Tadine, New Caledonia"
1.43,-121.6484985,37.2714996,"M 1.4 - 16km N of Morgan Hill, CA"
4.6,170.0243,-22.5126,"M 4.6 - 245 km ESE of Tadine, New Caledonia"
3.12,-66.7635,18.0228,"M 3.1 - 0 km NE of Magas Arriba, Puerto Rico"
4.5,-92.4289,14.0047,"M 4.5 - 61 km SSW of Ocós, Guatemala"
2.19000006,-155.164993286133,18.7840003967285,"M 2.2 - 53 km SE of Naalehu, Hawaii"
4.3,70.9912,36.5928,"M 4.3 - 33 km SSE of Jurm, Afghanistan"
2.5,-148.6377,62.7581,"M 2.5 - 72 km SSE of Cantwell, Alaska"
1.16,-122.7259979,38.7890015,"M 1.2 - 3km ENE of The Geysers, CA"
2.24000001,-155.468338012695,19.1723327636719,"M 2.2 - 3 km SSE of Pāhala, Hawaii"
2.02,-66.9825,17.9616666666667,"M 2.0 - 6 km ESE of La Parguera, Puerto Rico"
1.91,-115.2618333,32.3988333,"M 1.9 - 8km NW of Delta, B.C., MX"
